SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
71,20190071,M,258,NA,IP (X),SCHOOL X,,62.3,,70,,,69,83.7,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,1
72,20190072,M,260,NA,IP (X),SCHOOL X,,53.3,,67.5,,,64.3,50.2,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,1
73,20190073,M,259,NA,IP (X),SCHOOL X,,53.9,,77.8,,,78.4,88.6,,,,,67.7,,,,,,,,,,,,,,,,,,,,,,1
74,20190074,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,62.6,,55.1,,,,61.7,63.8,,,56.3,,,,,,,,,,,,,,,,,,,,,,,1
75,20190075,F,262,NA,IP (Y),SCHOOL Y,,62.8,,62.2,,,67.8,56.4,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,2
76,20190076,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,48.5,,43,,,,58,59.4,,,,58.3,,,,,,,,,,,,,,,,,,,,,,1
77,20190077,M,255,NA,IP (X),SCHOOL X,,62,,62.4,,,63.2,64.4,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,1
78,20190078,M,258,NA,IP (X),SCHOOL X,,49.8,,57.8,,,,69.4,56.9,,,,54.4,,,,,,,,,,,,,,,,,,,,,,1
79,20190079,M,222,NA,Appeals (Academic),BUKIT PANJANG GOVT. HIGH SCHOOL,,54.5,,39.8,,,,63.4,77.8,62.7,,,,,,,,,,,,,,,,,,,,,,,,,2
80,20190080,F,262,NA,IP (Y),SCHOOL Y,,59.5,,58.3,,,,80.1,82.4,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
81,20190081,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,51.9,,37.5,,,64.4,43.9,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,2
82,20190082,M,254,NA,IP (X),SCHOOL X,,52.4,,44.4,,,62.3,54.3,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,1
83,20190083,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,48.7,,45.2,,,50.5,57.4,,,,,44.9,,,,,,,,,,,,,,,,,,,,,,2
84,20190084,F,267,NA,IP (Y),SCHOOL Y,,58.3,,44.3,,,,,,,64.6,,,,,,,53.6,,,,62.7,,,,,,,,,,,,,2
85,20190085,M,0,NA,IP (X),SCHOOL X,,60.5,,63.1,,,,,,,61.4,,,44.2,,56.4,,,,,,,,,,,,,,,,,,,1
86,20190086,F,256,NA,IP (Y),SCHOOL Y,,67.8,,54.3,,,,,,,62.6,,,,,,,73.2,,,,,,,57.3,,,,,,,,,,1
87,20190087,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,43.2,,41.6,,,,56.1,57,,,,50,,,,,,,,,,,,,,,,,,,,,,1
88,20190088,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,55.7,,39.4,,,,37.8,53.9,,,,53.7,,,,,,,,,,,,,,,,,,,,,,1
89,20190089,F,266,NA,IP (Y),SCHOOL Y,,64.1,,65.2,,,,78.6,79.7,,,,64.4,,,,,,,,,,,,,,,,,,,,,,2
90,20190090,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,49.7,,37.6,,,,51,61.6,,,,61.3,,,,,,,,,,,,,,,,,,,,,,1
91,20190091,F,266,NA,IP (Y),SCHOOL Y,,56.2,,50.5,,,,35.5,48.7,,,,,,,,,,,,,,,,,,,,,,,,54.3,,1
92,20190092,F,267,NA,IP (Y),SCHOOL Y,,56.3,,51.5,,,,64.7,63.2,,,,,,,,65.3,,,,,,,,,,,,,,,,,,1
93,20190093,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,49.4,,79.5,,,70.4,80,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,1
94,20190094,F,251,NA,IP (Y),SCHOOL Y,,57.8,,,,,,,,61.4,,,53.8,,49.6,,,,,,,,,,,,80.9,,,,,,,,1
95,20190095,M,253,NA,IP (X),SCHOOL X,,61.1,,78.5,,,72.9,75.3,,,,,60.6,,,,,,,,,,,,,,,,,,,,,,1
96,20190096,F,261,NA,IP (Y),SCHOOL Y,,61.5,,72.9,,,,74.5,71.7,,,,63.7,,,,,,,,,,,,,,,,,,,,,,1
97,20190097,F,259,NA,IP (Y),SCHOOL Y,,57.3,,68.2,,,63.9,69.8,,,,,,,,,,,,64.6,,,,,,,,,,,,,,,2
98,20190098,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,53.8,,69.4,,,,70.8,73.6,,,,69.6,,,,,,,,,,,,,,,,,,,,,,2
99,20190099,F,0,NA,JAE Ordinary Admission,NAVAL BASE SECONDARY SCHOOL,,46.2,,58.3,,,,47.5,,,,,52.9,,,,,,,,,57.5,,,,,,,,,,,,,1
100,20190100,F,265,NA,IP (Y),SCHOOL Y,,55.4,,,,,,,,,,,49.8,,,,,,,,70.4,,65.5,,,,60.6,,,,,,,,1
101,20190101,F,0,NA,JAE Ordinary Admission,BOON LAY SECONDARY SCHOOL,,53,,53.8,,,53.4,,,,,,46.4,,,,61.8,,,,,,,,,,,,,,,,,,1
102,20190102,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,50.3,,50.3,,,,71.9,60.4,,,,64.1,,,,,,,,,,,,,,,,,,,,,,1
