SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
134,20200134,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,59,,,,,,,,,64.7,,,53.2,,,,,,66.6,,,,,,,,,65.2,,,,,,,,,,,50,,1
135,20200135,M,0,NA,IP (X),SCHOOL X,0,58,,,57,,,,60.8,44.3,,,,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
136,20200136,F,0,NA,IP (Y),SCHOOL Y,0,52,,,36.2,,,39.4,42.5,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
137,20200137,M,0,NA,IP (X),SCHOOL X,0,66,,,84.6,,,77.7,86.2,,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,20200138,M,0,NA,IP (X),SCHOOL X,0,76,,,42.6,,,,42.8,,,,,60.1,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,1
139,20200139,M,0,NA,IP (X),SCHOOL X,0,61,,,49.1,,,,61.6,63.5,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,20200140,F,259,Repeat Yr1,IP (Y),SCHOOL Y,0,70,,,33.6,,,,49.1,58.1,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,0
141,20200141,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,59,,,63.7,,,67.4,66,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,20200142,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,62,,,69.3,,,47.1,54.2,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
143,20200143,M,0,NA,IP (X),SCHOOL X,0,73,,,69.1,,,,,,,66,,,57.6,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,1
144,20200144,F,0,NA,IP (Y),SCHOOL Y,0,68,,,58.1,,,,59.8,70.7,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
145,20200145,F,0,NA,IP (Y),SCHOOL Y,0,63,,,67.3,,,65.9,63.5,,,,,57.9,,,,,,,,,,,,,,,,,,,,,,30,,,,,,1
146,20200146,M,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,56,,,73.7,,,,72.7,63.6,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
