SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
454,20200454,M,0,NA,IP (X),SCHOOL X,0,65,,,69.2,,,64,,,,,,,,,,,,78.8,,,,66.5,,,,,,,,,,,,,,,,63.3,,1
455,20200455,F,0,NA,IP (Y),SCHOOL Y,0,55,,,52.8,,66.9,48.2,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
456,20200456,M,0,NA,IP (X),SCHOOL X,0,78,,,93.2,,,,,,,76.3,,,71.7,,75.5,,,,,,,,,,,,,,,,,,58,,,,,,,2
457,20200457,F,0,NA,IP (Y),SCHOOL Y,0,68,,,46.9,,,,,,,64.3,68.3,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1
458,20200458,M,0,NA,IP (X),SCHOOL X,0,60,,,52.3,,,,,,54,,,,,,,39.2,,,,48.5,,,,,,,,,,,,,,,,,,,,1
459,20200459,F,0,NA,IP (Y),SCHOOL Y,0,69,,,63.8,,,52,60.7,,,,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
460,20200460,F,0,NA,IP (Y),SCHOOL Y,0,69,,,60,,,63.5,63,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
461,20200461,M,0,NA,IP (X),SCHOOL X,0,63,,,91.6,,,80,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,1
462,20200462,M,0,NA,IP (X),SCHOOL X,0,48,,,56.8,,,40.7,65.5,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
463,20200463,M,0,NA,IP (X),SCHOOL X,0,68,,,84.9,,,83.4,84.3,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
464,20200464,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,62,,,48.3,,,38.7,62.6,,,,,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
465,20200465,M,0,NA,IP (X),SCHOOL X,0,70,,,72.6,,,67.1,82.7,,,,,50,,,,,,,,,,,,,,,,,,,,,,,52,,,,,1
466,20200466,F,0,NA,IP (Y),SCHOOL Y,0,58,,,60.3,,,55.8,62.9,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
467,20200467,M,0,NA,IP (X),SCHOOL X,0,57,,,76.2,,,63,65.2,,,,,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
468,20200468,F,0,NA,IP (Y),SCHOOL Y,0,67,,,41.5,,,,53.9,55.5,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
469,20200469,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,65,,,64.6,,,,82.1,73.6,,,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
470,20200470,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,73,,,80.5,,,73.5,75.7,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
471,20200471,F,0,NA,IP (Y),SCHOOL Y,0,62,,,80.1,,,64.7,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
472,20200472,F,0,NA,IP (Y),SCHOOL Y,0,73,,,,,,,,,65.3,,,46,,,,50.5,,,,,,,,,,,64.1,,,,,,,,,,,,,1
473,20200473,F,263,NA,DSA (CCA),CEDAR GIRLS' SECONDARY SCHOOL,0,67,,,41.4,,,,64.8,69,,,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
474,20200474,M,0,NA,JAE Ordinary Admission,VICTORIA SCHOOL,0,68,,,84.9,,,78.1,75.7,,,,,67.2,,,,,,,,,,,,,,,,,,,,,48,,,,,,,1
475,20200475,F,0,NA,IP (Y),SCHOOL Y,0,66,,,63.9,,,58.4,65,,,,,,,,,,,,,,62.9,,,,,,,,,,,,,,,,,,,1
476,20200476,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,68,,,54.8,,,,79.9,69.7,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
477,20200477,M,0,NA,IP (X),SCHOOL X,0,61,,,71,,,65.9,57,,,,,,,,,,,77.8,,,,,,,,,,,,,,,,,,,,76.7,,1
478,20200478,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,70,,,52.5,,,,,,,,,60,,60.5,,,,,,,,,,,,,,,82.8,,,,,,,,,,,1
479,20200479,M,0,NA,IP (X),SCHOOL X,0,59,,,44.2,,,40,45.6,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
480,20200480,M,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,0,69,,,82.3,,,79.7,66,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
481,20200481,F,0,NA,IP (Y),SCHOOL Y,0,59,,,40.2,,,,60.7,55.3,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
482,20200482,M,0,NA,IP (X),SCHOOL X,0,63,,,81.7,,,,73.2,72.5,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,41,,,,,1
483,20200483,F,0,NA,IP (Y),SCHOOL Y,0,61,,,52.6,,,,60.8,66.8,,,,56,,,,,,,,,,,,,,,,,,,,,37,,,,,,,1
484,20200484,M,0,NA,IP (X),SCHOOL X,0,60,,,38.4,,,,56.4,54.9,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
485,20200485,M,0,Repeat Yr2,JAE Ordinary Admission,LOYANG VIEW SECONDARY SCHOOL,0,47,,,MC,,,21.6,,,,,,,,,,,,,,58,,,,,,,,,,,EX,,,,,,,,,0
486,20200486,F,0,NA,JAE Ordinary Admission,BUKIT MERAH SECONDARY SCHOOL,0,60,,,41,,,,,,,,51,50,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
487,20200487,F,0,NA,IP (Y),SCHOOL Y,0,52,,,72.4,,,,72.4,65.2,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,1
488,20200488,F,0,NA,IP (Y),SCHOOL Y,0,,70,,82.9,75.5,,81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
489,20200489,M,0,NA,IP (X),SCHOOL X,0,56,,,36.4,,,45.1,,,,,,54.9,,,,,,73,,,,,,,,,,,,,,,,,,,,43.3,,1
490,20200490,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,0,42,,,62.8,,76.7,60,,,,,,,,,,,,,,,66.2,,,,,,,,,,,,,,,,,,,1
491,20200491,F,0,NA,JAE Ordinary Admission,JUNYUAN SECONDARY SCHOOL,0,55,,,68.8,,,,75.3,67.6,,,,,,,,,,,,68.8,,,,,,,,,,,,,,,37.5,,,,,1
492,20200492,M,0,NA,IP (X),SCHOOL X,0,53,,,18,,23.7,,,,,,,,,,,,,,,47.8,,,,,,,,41.1,,,,,,,,,,,,1
493,20200493,M,0,NA,IP (X),SCHOOL X,0,76,,,87.5,,,,87,81.8,,,,75.9,,,,,,,,,,,,,,,,,,,,,,,,,EX,,,1
494,20200494,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),0,77,,,88.5,,,,91,84.1,,,,78.8,,,,,,,,,,,,,,,,,,,,,,,,76,,,,1
495,20200495,F,0,NA,IP (Y),SCHOOL Y,0,63,,,71.6,,,66.1,60.2,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
496,20200496,F,0,NA,IP (Y),SCHOOL Y,0,61,,,67.6,,,65.3,60.7,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
497,20200497,M,0,NA,IP (X),SCHOOL X,0,76.5,,,74.1,,,,,,,66,,,61.7,,71.5,,,,,,,,,,,,,,,,,,,,,,,,,2
498,20200498,F,0,NA,IP (Y),SCHOOL Y,0,64,,,66.9,,,,53.7,57.7,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,63.3,,2
499,20200499,F,0,NA,IP (Y),SCHOOL Y,0,67,,,47.7,,,,57.7,58.9,,,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
500,20200500,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,0,65,,,51.4,,,,52.8,,,,,54.8,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,,1
