SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
333,20180333,M,245,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,,,76.7,,,,,,,,73.3,,,65.3,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,2
334,20180334,F,249,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,,52,,61,,,,72.3,59.8,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
335,20180335,F,254,NA,IP (Y),SCHOOL Y,0,,54,,43.5,,,,45.7,53.9,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,1
336,20180336,M,267,NA,IP (X),SCHOOL X,0,,70,,84.5,,,,86.6,83.1,,,,,,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,2
337,20180337,F,252,NA,IP (Y),SCHOOL Y,0,,60,,41,,,,46.5,47.3,,,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,1
338,20180338,F,257,NA,IP (Y),SCHOOL Y,0,,62,,81.5,,,78.7,83.5,,,,,69.1,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,1
339,20180339,M,257,NA,IP (X),SCHOOL X,0,,60,,64.5,,,,81.4,74.7,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,2
340,20180340,F,231,NA,IP (Y),SCHOOL Y,0,,44,,29,,48.2,,,,,,,,,,,,,,,,54.3,,,,,,,,45.1,,,,,,,,,,,,1
341,20180341,F,0,NA,IP (Y),SCHOOL Y,0,,62,,37.5,,,,58.2,56.3,,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
342,20180342,F,248,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,59,,55,,,,55.2,51.3,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
343,20180343,F,259,NA,IP (Y),SCHOOL Y,0,,51,,28,,,,,,,,,31.3,,46,,,,,,,,,,,,,,,,,52,,,,,,,,,,1
344,20180344,M,248,NA,IP (X),SCHOOL X,0,,62,,72,,,73.8,54.8,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
345,20180345,M,0,NA,JAE Ordinary Admission,NEW TOWN SECONDARY SCHOOL,0,,61,,47.5,,,,63.1,54.1,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
346,20180346,M,256,NA,IP (X),SCHOOL X,0,,61,,60.5,,,,76.3,69,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
347,20180347,M,250,NA,IP (X),SCHOOL X,0,68.3,,,,,,,,,59.3,,,,,65.5,,,,,,,,,,68.6,,,,,,,,,,,,,,,,,1
348,20180348,F,249,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,76,,49.5,,,,,,74.7,,,69.3,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
349,20180349,M,258,NA,IP (X),SCHOOL X,0,,57,,63,,,53.7,57.3,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
350,20180350,F,240,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,,53,,48.5,,,,67.3,61.1,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
351,20180351,F,254,NA,IP (Y),SCHOOL Y,0,,57,,75.5,,,66,74.1,,,,,,,,,,,,,,58.6,,,,,,,,,,,,,,,,,,,,1
352,20180352,F,261,NA,IP (Y),SCHOOL Y,0,,60,,63.5,,,,62.5,59.2,,,,,,,,,,,,,63.8,,,,,,,,,,,,,,,,,,,,1
353,20180353,M,261,NA,IP (X),SCHOOL X,0,,72,,77.5,,,,69.9,,,,,62.9,,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
354,20180354,M,262,NA,IP (X),SCHOOL X,0,,57,,51.5,,,38.5,59.4,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
355,20180355,M,242,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,55,,69,,,67.3,74.5,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
356,20180356,F,264,NA,IP (Y),SCHOOL Y,0,,60,,71,,,,79,75.6,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,2
357,20180357,F,263,NA,IP (Y),SCHOOL Y,0,,59,,62.5,,,,61.8,70.2,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
358,20180358,F,248,NA,IP (Y),SCHOOL Y,0,,46,,19.5,,,,,,,,,34.7,,,,40.6,,,,,,,,,,,,,14.5,,,,,,,,,,,,1
359,20180359,M,256,NA,IP (X),SCHOOL X,0,,60,,72.5,,,66.5,78.9,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,1
360,20180360,M,253,NA,IP (X),SCHOOL X,0,,60,,63.5,,72.9,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,1
361,20180361,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,64,,60,,,,70.5,63.8,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
362,20180362,M,239,NA,IP (X),SCHOOL X,0,,53,,45.5,,,49.5,44,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
363,20180363,M,260,NA,IP (X),SCHOOL X,0,,65,,55,,,,60.1,67.7,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,1
364,20180364,F,239,NA,IP (Y),SCHOOL Y,0,,64,,,,,,,,63.3,,,49.3,,,,55.5,,,,,,,,,,,77,,,,,,,,,,,,,,1
365,20180365,F,262,NA,IP (Y),SCHOOL Y,0,,55,,72,,,,80,73.1,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,2
366,20180366,M,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,59,,70,,,,76.4,68.8,,,,,,,,,,,,,,,,,,,,,,,,72.2,,,,,,,,,1
367,20180367,M,251,NA,DSA,SCHOOL X,0,,60,,71,,,53.8,64.3,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
368,20180368,F,267,NA,IP (Y),SCHOOL Y,0,,66,,54,,,,58.5,62.3,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
369,20180369,M,254,NA,IP (X),SCHOOL X,0,,52,,67,,,51.4,70,,,,,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
370,20180370,F,265,NA,IP (Y),SCHOOL Y,0,,62,,81.5,,,69.8,75.1,,,,,58,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,1
371,20180371,F,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,0,,57,,58.5,,,56.5,56.9,,,,,,,,,,,,,,63.3,,,,,,,,,,,,,,,,,,,,1
372,20180372,M,254,NA,IP (X),SCHOOL X,0,,57,,53.5,,,,60,62.6,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
373,20180373,F,0,NA,JAE Ordinary Admission,BUKIT VIEW SECONDARY SCHOOL,0,,57,,66.5,,,55.2,62,,,,,,,,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,1
374,20180374,F,246,NA,DSA (CCA),CEDAR GIRLS' SECONDARY SCHOOL,0,,55,,43,,,36,43.6,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
375,20180375,F,258,NA,IP (Y),SCHOOL Y,0,,61,,72,,,50.7,,,,,,55.7,,,,,,,79.8,,,,,,,,,,,,,,,,,,,,,,1
376,20180376,M,232,NA,DSA (CCA),ST. ANDREW'S SECONDARY SCHOOL,0,,52,,52,,,44.3,59.8,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
377,20180377,F,246,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,,60,,42,,,,,,58.7,,,56.4,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,1
378,20180378,M,256,NA,IP (X),SCHOOL X,0,,75,,87.5,,,,87.3,77.7,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,1
379,20180379,M,245,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,,60,,62.5,,,59.5,66.8,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
380,20180380,M,259,NA,IP (X),SCHOOL X,0,,58,,57,,,,MC,59,,,,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
381,20180381,M,232,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,0,,58,,45,,,47,56.6,,,,,,,,,,,,,,,,,,,,,,,,,58.9,,,,,,,,,1
382,20180382,M,260,NA,IP (X),SCHOOL X,0,,54,,58,,,,63.4,42.2,,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
383,20180383,F,250,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,,78.3,,,,,,,,67,,,51.7,,,,74,,,,,,,,,,,,,,,,,,,,,,,,2
384,20180384,M,242,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,0,,62,,47,,,38.1,53.5,,,,,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
385,20180385,M,257,NA,IP (X),SCHOOL X,0,,70,,73,,,73,80.6,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,3
386,20180386,M,254,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",0,,60,,45,,,,,,68,,,69.6,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,1
387,20180387,M,257,NA,IP (X),SCHOOL X,0,,61,,66.5,,,,71.1,74.3,,,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,2
388,20180388,M,206,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,0,,49,,24.5,,,33.7,40.2,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,1
389,20180389,F,247,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,59,,74,,,,71.7,69.2,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
