NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180037,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,A,B,,,D,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,D,Passed,887,23,3.4,65,1
20180038,M,264,NA,IP (X),SCHOOL X,A,B,,,D,,,,E,E,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1051,9,4.8,51.25,1
20180039,F,259,NA,Appeals (Academic),NATIONAL JUNIOR COLLEGE (IP),A,A,,,C,,,E,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,,A,E,Passed,638,44,2.8,75,2
20180040,F,259,NA,IP (Y),SCHOOL Y,A,C,,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,420,63,1.9,80,1
20180041,F,249,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),B,B,,,E,,,,C,B,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,792,31,3.1,70,1
20180042,F,258,Repeat Yr2,IP (Y),SCHOOL Y,A,C,,,E,,,,E,B,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,C,Passed,925,19,3.5,62.5,1
20180043,F,231,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),A,B,,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,420,63,2.1,80,1
20180044,F,247,NA,IP (Y),SCHOOL Y,A,C,,,B,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,A,Passed,470,59,1.9,78.75,1
20180045,M,252,NA,IP (X),SCHOOL X,A,C,,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,267,76,1.4,83.75,3
20180046,F,246,NA,IP (Y),SCHOOL Y,A,B,,,U,,,,,,,,,,,E,,,,B,,,,,,,,,,,,,,B,,,,,,,,PA,A,E,Passed,1016,12,3.9,55,1
20180047,M,266,NA,IP (X),SCHOOL X,A,C,,,B,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,A,Passed,470,59,1.9,78.75,1
20180048,M,258,NA,IP (X),SCHOOL X,A,B,,,,,,,,,B,,C,,,C,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,B,Passed,594,48,2.3,76.25,1
20180049,M,262,NA,IP (X),SCHOOL X,B,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,B,A,Passed,144,87,1.3,86.25,1
20180050,M,249,NA,IP (X),SCHOOL X,A,E,,,C,,,S,C,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,C,Passed,972,15,3.4,58.75,1
20180051,F,263,NA,IP (Y),SCHOOL Y,A,C,,,U,,,,C,B,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,A,A,Passed,925,19,3.7,62.5,2
20180052,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,B,,,C,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,361,68,1.9,81.25,1
20180053,M,257,NA,IP (X),SCHOOL X,A,D,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,309,73,1.4,82.5,2
20180054,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,A,D,,,U,,D,S,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1132,1,5.4,33.75,0
20180055,M,236,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,A,B,,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,267,76,1.7,83.75,1
20180056,M,258,NA,IP (X),SCHOOL X,B,D,,,D,,,E,C,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,960,16,3.8,60,1
20180057,M,0,NA,IP (X),SCHOOL X,B,C,,,A,,,,,,,,,C,,B,,,,,,,A,,,,,,,,,,,,,,,,,,,,B,A,Passed,361,68,1.8,81.25,2
20180058,M,0,NA,DSA (CCA),XINMIN SECONDARY SCHOOL,A,B,,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,144,87,1.4,86.25,3
20180059,F,237,NA,IP (Y),SCHOOL Y,B,D,,,D,,,,B,C,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,B,B,Passed,814,29,2.8,68.75,2
20180060,F,248,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,B,D,,,S,,,E,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,1016,12,4.2,55,2
20180061,M,266,NA,IP (X),SCHOOL X,A,C,,,S,,,,,,,,,C,,,,C,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,836,27,3.2,67.5,1
20180062,F,267,NA,IP (Y),SCHOOL Y,B,B,,,B,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,638,44,2.4,75,1
20180063,M,259,NA,IP (X),SCHOOL X,A,D,,,C,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,594,48,2.1,76.25,2
20180064,M,245,NA,DSA (CCA),MARIS STELLA HIGH SCHOOL,A,B,,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,309,73,1.7,82.5,1
20180065,M,258,NA,IP (X),SCHOOL X,A,A,,,A,,,,,,,B,,,B,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,144,87,1.4,86.25,2
20180066,M,252,NA,IP (X),SCHOOL X,A,B,,,E,,,,C,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,764,33,3,71.25,1
20180067,M,242,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,B,B,,,C,,,S,C,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,B,C,Passed,960,16,3.6,60,1
20180068,M,259,NA,IP (X),SCHOOL X,A,D,,,D,,,U,,,,,,,,,,,,,,,B,,,,,,,,,,,B,,,,,,,,,A,A,Passed,1016,12,3.6,55,1
20180069,M,259,NA,IP (X),SCHOOL X,A,B,,,A,,,B,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,65,94,1.2,87.5,1
20180070,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,E,,,S,,,,D,E,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1093,5,4.8,45,1
20180071,F,264,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,A,B,,,A,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,470,59,2.3,78.75,2
20180072,M,259,NA,IP (X),SCHOOL X,B,D,,,S,,,,D,,,,,,,,,,,,,,C,,,,,,,,,,,B,,,,,,,,,B,A,Passed,1003,13,3.8,56.25,1
20180073,F,258,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,B,,,,,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,420,63,1.9,80,1
20180074,F,252,NA,IP (Y),SCHOOL Y,A,C,,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,470,59,2.1,78.75,1
20180075,F,261,NA,IP (Y),SCHOOL Y,A,C,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,65,94,1,87.5,1
20180076,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,D,,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,531,54,1.9,77.5,1
20180077,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,C,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,267,76,1.4,83.75,1
20180078,F,235,NA,IP (Y),SCHOOL Y,B,D,,,U,,,,,,,,,C,,,,D,,,,,,,,,,,,,C,,,,,,,,,,,,B,B,Passed,1058,8,4.1,50,1
20180079,F,247,NA,IP (Y),SCHOOL Y,A,C,,,,,,,,,C,,,U,,U,,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,1109,3,4.6,41.25,1
20180080,F,238,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,B,D,,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,594,48,2.2,76.25,1
20180081,F,255,NA,IP (Y),SCHOOL Y,A,C,,,,,,,,,B,,,E,,,,C,,,,,,,,,,,A,,,,,,,,,,,,,,A,B,Passed,792,31,2.8,70,1
20180082,M,261,NA,IP (X),SCHOOL X,A,A,,,A,,A,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,A,Passed,192,83,1.7,85,1
20180083,M,254,NA,IP (X),SCHOOL X,B,C,,,A,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,531,54,2.2,77.5,1
20180084,M,257,NA,IP (X),SCHOOL X,A,B,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,192,83,1.4,85,1
20180085,F,256,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,309,73,1.7,82.5,1
20180086,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),A,C,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,144,87,1.2,86.25,1
20180087,F,259,NA,IP (Y),SCHOOL Y,A,B,,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,361,68,1.9,81.25,2
20180088,M,257,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,267,76,1.7,83.75,1
20180089,M,259,NA,IP (X),SCHOOL X,A,,A,,B,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,65,94,1.2,87.5,1
20180090,M,254,NA,IP (X),SCHOOL X,A,B,,,C,,,,,,C,,,,,B,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,A,Passed,638,44,2.4,75,1
20180091,F,258,NA,IP (Y),SCHOOL Y,A,C,,,B,,,,A,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,309,73,1.7,82.5,1
20180092,M,251,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,C,,,A,,,D,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,688,40,2.6,73.75,1
20180093,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,C,,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,267,76,1.4,83.75,1
20180094,M,252,NA,IP (X),SCHOOL X,B,D,,,D,,,D,C,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,B,A,Passed,905,21,3.3,63.75,1
20180095,F,258,NA,IP (Y),SCHOOL Y,A,B,,,,,,,,,,,,,,,,A,,,,,B,B,,,,,A,,,,,,,,,,,,,,A,A,Passed,267,76,1.5,83.75,1
20180096,F,249,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,B,C,,,D,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,887,23,3.3,65,1
20180097,F,260,NA,IP (Y),SCHOOL Y,A,B,,,U,,,,S,,,,,,,,,C,,,,,,,,,,,,,,,,A,,,,,,,,,A,C,Passed,1069,7,4.3,48.75,1
20180098,M,256,NA,IP (X),SCHOOL X,A,B,,,B,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,309,73,1.9,82.5,2
20180099,M,254,NA,DSA (CCA),SCHOOL X,B,D,,,D,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,B,B,Passed,960,16,3.6,60,1
20180100,M,261,NA,IP (X),SCHOOL X,A,B,,,C,,,,B,B,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,764,33,3,71.25,1
