SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
110,20190110,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.25,,0.43,,,0.03,0.09,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
111,20190111,M,257,NA,IP (X),SCHOOL X,,0.48,,0.79,,,0.79,0.88,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,1
112,20190112,F,259,NA,IP (Y),SCHOOL Y,,0.7,,0.88,,,0.66,0.83,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
113,20190113,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.76,,0.33,,,0.61,0.57,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,1
114,20190114,M,257,NA,IP (X),SCHOOL X,,0.87,,0.36,,,,0.2,0.36,,,,,,,,,,,,,,,,,,,,,,0.57,,,,1
115,20190115,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.72,,0.4,,,0.19,0.36,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,1
116,20190116,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.54,,0.78,,,,0.77,0.71,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
117,20190117,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.91,,0.01,,,0.05,0.2,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
118,20190118,F,262,NA,IP (Y),SCHOOL Y,,0.23,,MC,,,MC,0.17,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,2
119,20190119,F,269,NA,IP (Y),SCHOOL Y,,0.99,,0.44,,,,0.69,0.73,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
120,20190120,M,0,NA,IP (X),SCHOOL X,,0.51,,0.52,,,0.74,0.78,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,1
121,20190121,M,259,NA,IP (X),SCHOOL X,,0.63,,0.96,,,0.89,0.96,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
122,20190122,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,0.26,,0.57,,,0.26,0.24,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,1
123,20190123,M,263,NA,IP (X),SCHOOL X,,0.44,,0.53,,,0.24,0.42,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,1
124,20190124,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.03,,0.68,,,,0.46,0.73,,,,0.28,,,,,,,,,,,,,,,,,,,,,,2
125,20190125,F,263,NA,IP (Y),SCHOOL Y,,0.61,,0.24,,,,0.22,,,,,0.54,,,,,,0.66,,,,,,,,,,,,,,,,1
126,20190126,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.22,,0.41,,0.05,0.28,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,1
127,20190127,F,258,NA,IP (Y),SCHOOL Y,,0.23,,,,,,,,0.59,,,0.67,,,,,,,,0.83,,,,,,0.72,,,,,,,,1
128,20190128,M,258,NA,IP (X),SCHOOL X,,0.46,,0.12,,,,,,,0.04,,,,,0.03,,,,,,,,,1,,,,,,,,,,1
