SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
472,20190472,F,260,NA,IP (Y),SCHOOL Y,,0.72,,0.24,,,0.17,0.66,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
473,20190473,M,252,NA,IP (X),SCHOOL X,,0.96,,0.93,,,0.89,0.81,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
474,20190474,M,254,NA,IP (X),SCHOOL X,,0.27,,0.71,,,,0.74,0.64,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
475,20190475,F,226,NA,IP (Y),SCHOOL Y,,0.38,,0.37,,,,0.47,0.24,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
476,20190476,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),,0.48,,0.81,,,,0.69,0.52,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
477,20190477,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.65,,0.76,,,,0.76,0.68,,,,0.77,,,,,,,,,,,,,,,,,,,,,,2
478,20190478,F,252,NA,IP (Y),SCHOOL Y,,0.51,,0,,,,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,0.2,,,,1
479,20190479,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.57,,0.65,,,,0.41,0.47,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
480,20190480,F,264,NA,IP (Y),SCHOOL Y,,0.13,,0.74,,,0.57,0.66,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,1
481,20190481,M,255,NA,IP (X),SCHOOL X,,0.47,,0.48,,,,0.42,0.47,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1
482,20190482,F,259,NA,IP (Y),SCHOOL Y,,0.87,,0.02,,,,0.09,0.06,,,,,,,,,,,,,0.27,,,,,,,,,,,,,1
483,20190483,M,256,NA,IP (X),SCHOOL X,,0.55,,0.59,,,0.37,,,,,,0.41,,,,,,,,,0.8,,,,,,,,,,,,,1
484,20190484,F,262,NA,IP (Y),SCHOOL Y,,0.39,,0.06,,,0.01,,,,,,0.02,,,,,,,,,0.23,,,,,,,,,,,,,0
485,20190485,F,233,NA,IP (Y),SCHOOL Y,,0.06,,0.29,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,0.3,,,,,,1
486,20190486,F,262,NA,IP (Y),SCHOOL Y,,0.38,,0.25,,,0.41,0.48,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,2
487,20190487,F,246,NA,IP (Y),SCHOOL Y,,0.22,,0.42,,,0.29,0.23,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,1
488,20190488,M,265,NA,IP (X),SCHOOL X,0.21,,,0.52,,,,0.49,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,2
489,20190489,M,256,NA,IP (X),SCHOOL X,,0.27,,0.12,,,0.23,0.19,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
490,20190490,M,243,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,0.67,,0.31,,,0.31,0.45,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
491,20190491,M,259,NA,IP (X),SCHOOL X,,0.97,,0.94,,,0.89,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2
492,20190492,F,260,NA,IP (Y),SCHOOL Y,,0.57,,0.56,,,0.6,,,,,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,2
493,20190493,F,264,NA,IP (Y),SCHOOL Y,,0.03,,0.13,,,,0.12,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,1
494,20190494,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.1,,0.38,,,0.29,0.17,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,1
495,20190495,F,264,NA,IP (Y),SCHOOL Y,,0.93,,0.85,,,0.91,0.82,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,2
496,20190496,F,260,NA,IP (Y),SCHOOL Y,,0.13,,0.22,,,0.08,0.59,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,1
497,20190497,M,255,NA,IP (X),SCHOOL X,,0.99,,0.74,,,,,,,,,0.79,,0.81,,,,,,,0.97,,,,,,,,,,,,,1
498,20190498,F,264,NA,IP (Y),SCHOOL Y,,0.96,,0.63,,,,,,,0.36,,,0.6,,,,0.6,,,,,,,,,,,,,,,,,1
499,20190499,F,267,NA,IP (Y),SCHOOL Y,,0.9,,0.2,,,,0.69,,0.83,,,0.8,,,,,,,,,,,,,,,,,,,,,,2
500,20190500,M,263,NA,IP (X),SCHOOL X,,0.78,,0.88,,,0.67,0.72,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
