SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
58,20180058,M,0,NA,DSA (CCA),XINMIN SECONDARY SCHOOL,,53.8,,67.1,,,77.9,79.4,,,,,70.1,,,,,,,,,,,,,,,,,,,,,,3
59,20180059,F,237,NA,IP (Y),SCHOOL Y,,54.4,,50.8,,,,47.3,48.8,,,,,,,,,,,,,,,,,,,,,,57.8,,,,2
60,20180060,F,248,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,47.5,,35.9,,,47.8,44.6,,,,,42.2,,,,,,,,,,,,,,,,,,,,,,2
61,20180061,M,266,NA,IP (X),SCHOOL X,,62,,60.1,,,,,,,,,55.8,,,,75.5,,,,,64.4,,,,,,,,,,,,,1
62,20180062,F,267,NA,IP (Y),SCHOOL Y,,50.1,,49.3,,,54.5,50.5,,,,,60.2,,,,,,,,,,,,,,,,,,,,,,1
63,20180063,M,259,NA,IP (X),SCHOOL X,,52.5,,50.7,,,,60.2,57.2,,,,57.8,,,,,,,,,,,,,,,,,,,,,,2
64,20180064,M,245,NA,DSA (CCA),MARIS STELLA HIGH SCHOOL,,46.1,,64,,,71.8,66.5,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,1
65,20180065,M,258,NA,IP (X),SCHOOL X,,64.1,,71.4,,,,,,,59.1,,,53.2,,71.7,,,,,,,,,,,,,,,,,,,2
66,20180066,M,252,NA,IP (X),SCHOOL X,,55.8,,52,,,,56.1,59.3,,,,54.3,,,,,,,,,,,,,,,,,,,,,,1
67,20180067,M,242,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,,49.4,,48.4,,,47.7,40.6,,,,,37.9,,,,,,,,,,,,,,,,,,,,,,1
68,20180068,M,259,NA,IP (X),SCHOOL X,,43.1,,30.4,,,35.9,,,,,,,,,,,,,,,60.8,,,,,,,,,60.9,,,,1
69,20180069,M,259,NA,IP (X),SCHOOL X,,52,,60.3,,,69.5,64.3,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,1
70,20180070,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,47.3,,42.3,,,,MC,54.3,,,,53.7,,,,,,,,,,,,,,,,,,,,,,1
71,20180071,F,264,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,56.3,,59.5,,,,56.1,59.9,,,,49.1,,,,,,,,,,,,,,,,,,,,,,2
72,20180072,M,259,NA,IP (X),SCHOOL X,,46.2,,35.7,,,,43.7,,,,,46.5,,,,,,,,,62.3,,,,,,,,,,,,,1
73,20180073,F,258,NA,IP (Y),SCHOOL Y,,58.1,,43.6,,,,51.6,,,,,53,,,,55.6,,,,,,,,,,,,,,,,,,1
74,20180074,F,252,NA,IP (Y),SCHOOL Y,,53,,47.3,,,62.1,53.7,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,1
75,20180075,F,261,NA,IP (Y),SCHOOL Y,,64.1,,67.1,,,,79.6,81,,,,73.3,,,,,,,,,,,,,,,,,,,,,,1
76,20180076,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,50.5,,51.2,,,,58.4,64.6,,,,55.3,,,,,,,,,,,,,,,,,,,,,,1
77,20180077,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,56.1,,51,,,73.6,64.1,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,1
78,20180078,F,235,NA,IP (Y),SCHOOL Y,,48.8,,24.6,,,,,,,,,50.8,,,,45.2,,,,,,,,,,,,52.3,,,,,,1
79,20180079,F,247,NA,IP (Y),SCHOOL Y,,45.8,,28.6,,,,,,53.3,,,42.2,,51.5,,,,,,,,,,,,,,,,,,,,1
80,20180080,F,238,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,48,,61.5,,,,66.5,62,,,,54.9,,,,,,,,,,,,,,,,,,,,,,1
81,20180081,F,255,NA,IP (Y),SCHOOL Y,,65,,,,,,,,58.1,,,54.5,,,,59.8,,,,,,,,,,,64,,,,,,,1
82,20180082,M,261,NA,IP (X),SCHOOL X,,61.2,,73.2,,82.2,63.8,,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,1
83,20180083,M,254,NA,IP (X),SCHOOL X,,56.1,,75.8,,,80.5,71.4,,,,,68.9,,,,,,,,,,,,,,,,,,,,,,1
84,20180084,M,257,NA,IP (X),SCHOOL X,,52.2,,59.4,,,,69.2,64.7,,,,61.3,,,,,,,,,,,,,,,,,,,,,,1
85,20180085,F,256,NA,IP (Y),SCHOOL Y,,57,,50.9,,,,52.8,61.8,,,,64.2,,,,,,,,,,,,,,,,,,,,,,1
