SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
438,20200438,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.84,,,0.57,0.6,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
439,20200439,F,232,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.76,,0.72,,,,,,0.91,,,0.81,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
440,20200440,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.31,,,,0.13,0.11,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
441,20200441,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.67,,,0.71,0.52,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
442,20200442,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.28,,0.28,,,,0.41,0.54,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
443,20200443,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.28,,,,0.02,,,,,,,,,,,,,0.63,,0.5,,,,,,,,,,,,,,,,,,1
444,20200444,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.11,,0.07,,,,0.39,0.11,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,1
445,20200445,F,0,NA,IP (Y),SCHOOL Y,1,,0.34,,0.89,,,,0.9,0.79,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,1
446,20200446,F,0,NA,IP (Y),SCHOOL Y,1,,0.92,,0.24,,,,,,,0.77,,,0.43,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,1
447,20200447,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,1,,0.5,,0.63,,,,0.64,0.87,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
448,20200448,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.02,,,,,,,,,0.32,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,2
449,20200449,M,0,NA,IP (X),SCHOOL X,1,,0.14,,0.12,,0.1,,0.21,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
450,20200450,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),1,,0.07,,0.02,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,1
451,20200451,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,1,,0.34,,0.66,,,,0.51,0.63,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
452,20200452,F,0,NA,IP (Y),SCHOOL Y,1,,0.99,,0.99,,,,0.96,0.96,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,0.72,,,,1
453,20200453,F,0,NA,IP (Y),SCHOOL Y,1,,0.84,,0.55,,,0.48,0.26,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
454,20200454,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.65,,,0.54,,,,,,,,,,,,0.77,,,,0.7,,,,,,,,,,,,,,,,0.82,,1
455,20200455,F,0,NA,IP (Y),SCHOOL Y,1,,0.11,,0.29,,0.37,0.2,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
456,20200456,M,0,NA,IP (X),SCHOOL X,1,,0.98,,0.99,,,,,,,0.93,,,0.97,,0.88,,,,,,,,,,,,,,,,,,0.53,,,,,,,2
457,20200457,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.19,,,,,,,0.2,0.93,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,1
458,20200458,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.27,,,,,,0.13,,,,,,,0.06,,,,0.17,,,,,,,,,,,,,,,,,,,,1
459,20200459,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.52,,,0.26,0.4,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
460,20200460,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.44,,,0.53,0.47,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
461,20200461,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.99,,,0.92,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,1
462,20200462,M,0,NA,IP (X),SCHOOL X,1,,0.01,,0.38,,,0.09,0.53,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
463,20200463,M,0,NA,IP (X),SCHOOL X,1,,0.76,,0.93,,,0.95,0.95,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
464,20200464,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.44,,0.22,,,0.07,0.46,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
465,20200465,M,0,NA,IP (X),SCHOOL X,1,,0.84,,0.74,,,0.63,0.93,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,1
466,20200466,F,0,NA,IP (Y),SCHOOL Y,1,,0.22,,0.45,,,0.32,0.47,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
467,20200467,M,0,NA,IP (X),SCHOOL X,1,,0.18,,0.8,,,0.52,0.52,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
468,20200468,F,0,NA,IP (Y),SCHOOL Y,1,,0.72,,0.13,,,,0.23,0.23,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
469,20200469,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.62,,0.54,,,,0.93,0.86,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
470,20200470,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.91,,0.89,,,0.8,0.81,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
471,20200471,F,0,NA,IP (Y),SCHOOL Y,1,,0.44,,0.88,,,0.57,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
472,20200472,F,0,NA,IP (Y),SCHOOL Y,1,,0.91,,,,,,,,0.71,,,0.11,,,,0.22,,,,,,,,,,,0.51,,,,,,,,,,,,,1
473,20200473,F,263,NA,DSA (CCA),CEDAR GIRLS' SECONDARY SCHOOL,1,,0.72,,0.13,,,,0.51,0.73,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
474,20200474,M,0,NA,JAE Ordinary Admission,VICTORIA SCHOOL,1,,0.76,,0.93,,,0.89,0.81,,,,,0.89,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,1
475,20200475,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.53,,,0.39,0.52,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,1
476,20200476,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.76,,0.34,,,,0.89,0.76,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
477,20200477,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.69,,,0.59,0.31,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,1,,1
478,20200478,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.84,,0.28,,,,,,,,,0.63,,0.63,,,,,,,,,,,,,,,1,,,,,,,,,,,1
479,20200479,M,0,NA,IP (X),SCHOOL X,1,,0.28,,0.16,,,0.09,0.11,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
480,20200480,M,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,1,,0.81,,0.91,,,0.92,0.55,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
481,20200481,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,0.11,,,,0.4,0.22,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
482,20200482,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.9,,,,0.75,0.83,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,1
483,20200483,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.28,,,,0.4,0.65,,,,0.44,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,1
484,20200484,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.1,,,,0.29,0.2,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
485,20200485,M,0,Repeat Yr2,JAE Ordinary Admission,LOYANG VIEW SECONDARY SCHOOL,1,,0.01,,MC,,,0,,,,,,,,,,,,,,0.39,,,,,,,,,,,EX,,,,,,,,,0
486,20200486,F,0,NA,JAE Ordinary Admission,BUKIT MERAH SECONDARY SCHOOL,1,,0.34,,0.12,,,,,,,,0.18,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,1
487,20200487,F,0,NA,IP (Y),SCHOOL Y,1,,0.05,,0.73,,,,0.72,0.59,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,1
488,20200488,F,0,NA,IP (Y),SCHOOL Y,1,0.38,,,0.91,0.85,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
489,20200489,M,0,NA,IP (X),SCHOOL X,1,,0.14,,0.08,,,0.17,,,,,,0.36,,,,,,0.44,,,,,,,,,,,,,,,,,,,,0.17,,1
490,20200490,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,1,,0,,0.49,,0.47,0.44,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,1
491,20200491,F,0,NA,JAE Ordinary Admission,JUNYUAN SECONDARY SCHOOL,1,,0.11,,0.64,,,,0.8,0.68,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,0.38,,,,,1
492,20200492,M,0,NA,IP (X),SCHOOL X,1,,0.07,,0,,0.01,,,,,,,,,,,,,,,0.14,,,,,,,,0.66,,,,,,,,,,,,1
493,20200493,M,0,NA,IP (X),SCHOOL X,1,,0.96,,0.96,,,,0.98,0.96,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,EX,,,1
494,20200494,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.97,,0.97,,,,0.99,0.98,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,1
495,20200495,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.71,,,0.6,0.38,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
496,20200496,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.61,,,0.57,0.4,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
497,20200497,M,0,NA,IP (X),SCHOOL X,1,,0.96,,0.77,,,,,,,0.34,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2
498,20200498,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.59,,,,0.23,0.27,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.82,,2
499,20200499,F,0,NA,IP (Y),SCHOOL Y,1,,0.72,,0.21,,,,0.32,0.33,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
500,20200500,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,1,,0.62,,0.26,,,,0.22,,,,,0.36,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,1
