NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190079,M,222,NA,Appeals (Academic),BUKIT PANJANG GOVT. HIGH SCHOOL,A,,B,,B,,,,B,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,219,80,1.4,85,2
20190080,F,262,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,43,96,1,88.75,1
20190081,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,C,,B,,,A,D,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,576,47,2.3,76.25,2
20190082,M,254,NA,IP (X),SCHOOL X,A,,EX,,E,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,3.2,60,1
20190083,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,B,,D,,A,,,B,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,610,44,2.4,75,2
20190084,F,267,NA,IP (Y),SCHOOL Y,A,,A,,C,,,,,,,C,,,,,,,B,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,2
20190085,M,0,NA,IP (X),SCHOOL X,A,,A,,B,,,,,,,B,,,D,,C,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,576,47,2.6,76.25,1
20190086,F,256,NA,IP (Y),SCHOOL Y,A,,A,,C,,,,,,,B,,,,,,,A,,,,,,,B,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.9,82.5,1
20190087,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,416,62,1.9,80,1
20190088,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,B,,U,,,,,D,,,,E,,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,A,Passed,999,9,4.3,51.25,1
20190089,F,266,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,43,96,1,88.75,2
20190090,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,,D,,D,,,,E,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,822,25,3.2,66.25,1
20190091,F,266,NA,IP (Y),SCHOOL Y,A,,D,,U,,,,S,D,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,A,Passed,1033,6,4.5,43.75,1
20190092,F,267,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,1
20190093,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,ME,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190094,F,251,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,B,,,C,,C,,,,,,,,,,,,A,,,,,,,,,,,,,,A,B,Passed,576,47,2.3,76.25,1
20190095,M,253,NA,IP (X),SCHOOL X,A,,B,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,ME,,,,,,,A,A,Passed,219,80,1.4,85,1
20190096,F,261,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,1
20190097,F,259,NA,IP (Y),SCHOOL Y,A,,B,,A,,,C,D,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,B,Passed,416,62,2.1,80,2
20190098,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,43,96,1.2,88.75,2
20190099,F,0,NA,JAE Ordinary Admission,NAVAL BASE SECONDARY SCHOOL,A,,E,,C,,,,D,,,,,S,,,,,,,,,D,,,,,,,,,,,,,,,,,,,A,A,Passed,952,13,3.9,57.5,1
20190100,F,265,NA,IP (Y),SCHOOL Y,A,,C,,,,,,,,,,,C,,,,,,,,A,,B,,,,D,,,,,,,,,,,,,DI,A,A,Passed,576,47,2.1,76.25,1
20190101,F,0,NA,JAE Ordinary Admission,BOON LAY SECONDARY SCHOOL,A,,E,,U,,,S,,,,,,MC,,,,D,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1073,2,5,32.5,1
20190102,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,,C,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.7,81.25,1
