NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190394,M,253,NA,IP (X),SCHOOL X,A,,B,,B,,,A,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,1
20190395,M,258,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,90,1
20190396,F,258,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190397,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,B,,,,E,E,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,985,10,4.3,53.75,1
20190398,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,,A,,B,,,,D,,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.3,78.75,2
20190399,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,A,,B,,U,,,,,D,,,,C,,,,,,,,,,,,,,,,B,,,,,,,,,,,,A,B,Passed,980,11,3.9,55,1
20190400,F,244,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,2
20190401,M,256,NA,IP (X),SCHOOL X,B,,B,,C,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,673,39,2.7,72.5,1
20190402,M,251,NA,IP (X),SCHOOL X,B,,B,,D,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,710,35,2.9,71.25,1
20190403,M,260,NA,IP (X),SCHOOL X,A,,B,,B,,,B,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,710,35,3,71.25,1
20190404,F,267,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,C,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.6,75,1
20190405,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,,B,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,E,Passed,270,75,1.8,83.75,2
20190406,M,257,NA,IP (X),SCHOOL X,B,,D,,U,,,U,,,,,,U,,,,,,,,,,,,,,,,U,,,,,,,,,,,,B,B,Failed,1097,0,6.4,15,1
20190407,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,C,,D,,,,E,,D,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,894,19,3.6,61.25,1
20190408,F,228,NA,Appeals (Academic),CHIJ KATONG CONVENT,A,,C,,A,,,B,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,270,75,1.4,83.75,1
20190409,F,265,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.6,75,1
20190410,F,247,NA,IP (Y),SCHOOL Y,A,,A,,E,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,673,39,3,72.5,1
20190411,F,238,NA,IP (Y),SCHOOL Y,A,,D,,D,,,,S,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,969,12,4.1,56.25,1
20190412,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,A,,C,,U,,,C,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,952,13,4.1,57.5,1
20190413,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),A,,B,,C,,,E,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,969,12,4.3,56.25,1
20190414,F,259,NA,IP (Y),SCHOOL Y,A,,C,,C,,,C,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,737,33,2.8,70,1
20190415,M,259,NA,IP (X),SCHOOL X,A,,B,,E,,,D,,,,,,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,710,35,3,71.25,1
20190416,F,261,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,,,,,,B,,,,,,,,B,,A,,,,,,,,,,,,,,,,,DI,A,A,Passed,219,80,1.4,85,1
20190417,M,257,NA,IP (X),SCHOOL X,A,,B,,B,,,B,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,710,35,3,71.25,1
20190418,M,250,NA,IP (X),SCHOOL X,A,,B,,D,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,610,44,2.6,75,1
20190419,M,257,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20190420,F,250,NA,IP (Y),SCHOOL Y,A,,C,,B,,,,U,,B,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,A,B,Passed,929,15,3.4,58.75,1
20190421,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,D,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,793,28,3,67.5,1
20190422,F,248,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,A,,,,A,A,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,43,96,1,88.75,1
20190423,F,216,NA,IP (Y),SCHOOL Y,A,,D,,S,,,S,,,,,,D,,,,,,,,,,,,,,,,,,,,E,,,,,,,,A,B,Passed,1033,6,4.8,43.75,1
20190424,M,262,NA,IP (X),SCHOOL X,A,,B,,D,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,673,39,2.8,72.5,2
20190425,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,S,,,C,D,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,A,A,Passed,894,19,3.9,61.25,2
20190426,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190427,F,272,NA,IP (Y),SCHOOL Y,A,,C,,B,,,B,C,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.1,77.5,1
20190428,F,247,NA,IP (Y),SCHOOL Y,A,,C,,,,,,U,,B,,,D,,,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,985,10,3.9,53.75,0
20190429,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,B,,,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,E,Passed,576,47,2.3,76.25,1
20190430,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,270,75,1.4,83.75,1
20190431,F,0,NA,IP (Y),SCHOOL Y,A,A,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,A,Passed,1,100,1,90,2
20190432,M,0,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,A,,C,,D,,,C,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3,68.75,1
20190433,F,256,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190434,F,254,NA,IP (Y),SCHOOL Y,A,,C,,D,,,C,,,,,,C,,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,A,Passed,737,33,2.8,70,1
20190435,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,A,,C,,D,,,C,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,756,31,3,68.75,1
20190436,F,262,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,100,91,1.2,87.5,1
20190437,F,262,NA,IP (Y),SCHOOL Y,A,,B,,D,,,C,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,865,21,3.7,63.75,1
20190438,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,43,96,1,88.75,1
20190439,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,100,91,1.2,87.5,1
20190440,F,258,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,E,D,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,C,Passed,1006,8,4.4,50,1
20190441,M,251,NA,IP (X),SCHOOL X,A,,B,,D,,,,,,,,,C,,,,B,,,,,,,,,,,,A,,,,,,,,,,,,A,A,Passed,646,41,2.5,73.75,1
20190442,F,249,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,C,B,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,576,47,2.3,76.25,1
20190443,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,,C,,C,,,,B,C,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.3,75,1
20190444,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,A,,,,B,C,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,646,41,2.8,73.75,1
20190445,F,260,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,C,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,929,15,4.1,58.75,1
20190446,F,259,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,DI,,A,A,Passed,219,80,1.4,85,1
20190447,M,0,NA,IP (X),SCHOOL X,B,,C,,E,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,822,25,3.3,66.25,1
20190448,M,250,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,100,91,1.2,87.5,1
20190449,F,226,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,A,,B,,U,,,D,U,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1027,7,4.8,46.25,1
20190450,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,C,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,364,67,1.7,81.25,1
20190451,M,255,NA,IP (X),SCHOOL X,B,,C,,B,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,646,41,2.7,73.75,2
20190452,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,B,,B,,,,,,,,,B,,B,,,,,,,,,,,,,,B,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,1
20190453,F,242,NA,IP (Y),SCHOOL Y,B,,B,,D,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,472,57,2.2,78.75,1
20190454,M,257,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190455,M,267,NA,IP (X),SCHOOL X,A,,A,,C,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,UC,,,,,,A,A,Passed,527,52,2.3,77.5,1
20190456,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,B,,D,,A,,,,C,,,,,B,,,,,,,,A,,,,,,,,,,,,,,,,,,,DI,B,A,Passed,416,62,1.8,80,1
20190457,M,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,A,,B,,U,,A,,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,B,Passed,894,19,3.9,61.25,1
20190458,M,254,NA,IP (X),SCHOOL X,A,,C,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,270,75,1.4,83.75,1
20190459,M,254,NA,IP (X),SCHOOL X,A,,C,,C,,,,D,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,865,21,3.4,63.75,2
20190460,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,U,,,,,,C,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,756,31,3.2,68.75,1
20190461,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,B,,D,,A,,,A,A,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,416,62,2,80,1
20190462,M,254,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,43,96,1,88.75,1
20190463,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,A,,,,B,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.1,78.75,1
20190464,F,260,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,179,83,1.4,86.25,1
20190465,F,220,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,A,,E,,S,,,,D,E,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,B,Passed,999,9,4.1,51.25,1
20190466,M,257,NA,IP (X),SCHOOL X,A,,A,,B,,,,,,,C,,,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,1
20190467,M,243,NA,DSA (CCA),RAFFLES INSTITUTION,B,,E,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,B,E,Failed,1099,0,6.4,13.75,1
20190468,M,253,NA,IP (X),SCHOOL X,A,B,,,C,,,C,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,793,28,3,67.5,2
20190469,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,100,91,1.2,87.5,2
20190470,F,248,NA,IP (Y),SCHOOL Y,A,,D,,C,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,737,33,2.8,70,2
20190471,F,254,NA,IP (Y),SCHOOL Y,A,,C,,U,,,,,U,,,,E,,,,,,,,,,,,,,,,D,,,,,,,,,,,,A,A,Passed,1069,3,5.4,33.75,1
20190472,F,260,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190473,M,252,NA,IP (X),SCHOOL X,B,,B,,B,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,B,A,Passed,364,67,1.8,81.25,1
20190474,M,254,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,219,80,1.4,85,1
20190475,F,226,NA,IP (Y),SCHOOL Y,A,,A,,E,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,673,39,3,72.5,1
20190476,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),A,,B,,A,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190477,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,43,96,1,88.75,2
20190478,F,252,NA,IP (Y),SCHOOL Y,A,,C,,U,,,,U,S,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,A,B,Failed,1083,1,5.8,27.5,1
20190479,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,C,,,,C,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,673,39,2.8,72.5,1
20190480,F,264,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190481,M,255,NA,IP (X),SCHOOL X,A,,C,,C,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,416,62,1.9,80,1
20190482,F,259,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,E,C,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,894,19,3.9,61.25,1
20190483,M,256,NA,IP (X),SCHOOL X,A,,C,,B,,,B,,,,,,C,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.1,77.5,1
20190484,F,262,NA,IP (Y),SCHOOL Y,B,,D,,U,,,,,,,,,D,,,,,,,,,B,,,,,,U,,,,,,,,,,,,,B,B,Passed,1029,6,4.4,45,0
20190485,F,233,NA,IP (Y),SCHOOL Y,A,,E,,D,,,D,,,,,,E,,,,,,,,,,,,,,,,B,,,,,,,,,,,,A,B,Passed,929,15,3.6,58.75,1
20190486,F,262,NA,IP (Y),SCHOOL Y,A,,C,,C,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.1,77.5,2
20190487,F,246,NA,IP (Y),SCHOOL Y,A,,D,,B,,,C,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,865,21,3.4,63.75,1
20190488,M,265,NA,IP (X),SCHOOL X,A,A,,,B,,,,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,2
20190489,M,256,NA,IP (X),SCHOOL X,A,,D,,S,,,D,D,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1014,8,4.6,48.75,1
20190490,M,243,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,A,,B,,B,,,B,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,610,44,2.6,75,1
20190491,M,259,NA,IP (X),SCHOOL X,A,,A,,A,,,A,,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,DI,,,A,A,Passed,1,100,1,90,2
20190492,F,260,NA,IP (Y),SCHOOL Y,A,,B,,E,,,B,,,,,D,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3.2,68.75,2
20190493,F,264,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,S,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3.2,68.75,1
20190494,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,,S,,C,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,793,28,2.7,67.5,1
20190495,F,264,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,A,Passed,1,100,1,90,2
20190496,F,260,NA,IP (Y),SCHOOL Y,A,,B,,D,,,C,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,894,19,3.9,61.25,1
20190497,M,255,NA,IP (X),SCHOOL X,A,,A,,A,,,,,,,,,A,,B,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,179,83,1.4,86.25,1
20190498,F,264,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,,,,B,,,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190499,F,267,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,43,96,1.2,88.75,2
20190500,M,263,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,179,83,1.4,86.25,1
