SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
49,20180049,M,262,NA,IP (X),SCHOOL X,1,,0.67,,0.92,,,0.79,0.87,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,1
50,20180050,M,249,NA,IP (X),SCHOOL X,1,,0.01,,0.34,,,0.1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,1
51,20180051,F,263,NA,IP (Y),SCHOOL Y,1,,0.43,,0.05,,,,0.2,0.33,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,2
52,20180052,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.61,,0.31,,,,0.69,0.79,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
53,20180053,M,257,NA,IP (X),SCHOOL X,1,,0.24,,0.68,,,0.53,0.64,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
54,20180054,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,1,,0.12,,0.05,,0.13,0.07,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,20180055,M,236,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,1,,0.61,,0.89,,,0.6,0.82,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,20180056,M,258,NA,IP (X),SCHOOL X,1,,0.24,,0.19,,,0.2,0.19,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20180057,M,0,NA,IP (X),SCHOOL X,1,,0.36,,0.81,,,,,,,,,0.55,,0.83,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,2
58,20180058,M,0,NA,DSA (CCA),XINMIN SECONDARY SCHOOL,1,,0.89,,0.97,,,0.97,0.91,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
59,20180059,F,237,NA,IP (Y),SCHOOL Y,1,,0.12,,0.23,,,,0.37,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,2
60,20180060,F,248,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.08,,0.06,,,0.19,0.2,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
61,20180061,M,266,NA,IP (X),SCHOOL X,1,,0.55,,0.06,,,,,,,,,0.57,,,,0.33,,,,,0.5,,,,,,,,,,,,,,,,,,,,1
62,20180062,F,267,NA,IP (Y),SCHOOL Y,1,,0.93,,0.43,,,0.45,0.36,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,20180063,M,259,NA,IP (X),SCHOOL X,1,,0.21,,0.35,,,,0.42,0.4,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
64,20180064,M,245,NA,DSA (CCA),MARIS STELLA HIGH SCHOOL,1,,0.84,,0.55,,,0.74,0.69,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,20180065,M,258,NA,IP (X),SCHOOL X,1,,0.98,,0.76,,,,,,,0.73,,,0.91,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,2
66,20180066,M,252,NA,IP (X),SCHOOL X,1,,0.87,,0.17,,,,0.26,0.62,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,20180067,M,242,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,1,,0.61,,0.31,,,0.06,0.24,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,1
68,20180068,M,259,NA,IP (X),SCHOOL X,1,,0.12,,0.19,,,0.05,,,,,,,,,,,,,,,0.36,,,,,,,,,,,0.76,,,,,,,,,1
69,20180069,M,259,NA,IP (X),SCHOOL X,1,,0.61,,0.83,,,0.75,0.88,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
