NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,CB,SSL,PE,COM,EC,PA,CH,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,IN,MSP,HH,HG,HL,IH,HZ,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,LA2,SP
20200101,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2,6,A2,A2,,,,A2,B3,A2,B3,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200102,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.29,6,B3,B4,,,,A1,A1,A2,A1,B4,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,,,
20200103,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,4,6,B4,C5,,,,A2,B4,B3,B3,C6,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,A1,,B3,,,B3,,
20200104,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,C5,A2,,,A1,A1,A1,A1,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200105,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,6,A1,A1,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,A1,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200106,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2.67,6,B4,A2,,,,A1,A1,B4,B4,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20200107,F,JAE Ordinary Admission,Arts,NAN HUA HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,8,B3,B3,A1,,,A1,A1,B3,B3,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200108,M,JAE Ordinary Admission,Science,SERANGOON GARDEN SECONDARY SCHOOL,FREE THINKER,SINGAPORE PR (CHINESE),,,6,B3,A1,A1,,,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200109,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.29,6,A2,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20200110,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.43,6,A1,B4,,,,A2,C5,,B4,,,,,,,,,B3,,,,,B3,,,,,,,,A1,,,,,,,,,,,,,,,,,,
