SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
142,20200142,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,62.7,,68.3,,,59.8,71.2,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,1
143,20200143,M,0,NA,IP (X),SCHOOL X,,54.6,,67.7,,,,,,,64,,,72,,,,71,,,,,,,,,,,,,,,,,1
144,20200144,F,0,NA,IP (Y),SCHOOL Y,,62,,70.3,,,,67.3,75,,,,54.3,,,,,,,,,,,,,,,,,,,,,,1
145,20200145,F,0,NA,IP (Y),SCHOOL Y,,62.5,,72.8,,,69.2,71,,,,,56.3,,,,,,,,,,,,,,,,,,,,,,1
146,20200146,M,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,46.8,,68.9,,,,75.1,62.5,,,,54.4,,,,,,,,,,,,,,,,,,,,,,1
147,20200147,M,0,NA,IP (X),SCHOOL X,,65.6,,79.1,,,74.8,83.9,,,,,,,,,,,,,,74,,,,,,,,,,,,,1
148,20200148,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,57.7,,57.2,,,52.5,61.2,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,2
149,20200149,M,0,NA,IP (X),SCHOOL X,,62.3,,48.9,,,,50.2,,,,,65.2,,51.7,,,,,,,,,,,,,,,,,,,,1
150,20200150,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,54.4,,45.8,,,50,56.5,,,,,,,,,57.7,,,,,,,,,,,,,,,,,,1
151,20200151,F,0,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,,52,,70.9,,,,61.1,65.7,,,,64.5,,,,,,,,,,,,,,,,,,,,,,2
152,20200152,F,0,NA,IP (Y),SCHOOL Y,,62.6,,77.3,,,72.1,76,,,,,61.4,,,,,,,,,,,,,,,,,,,,,,2
153,20200153,M,0,NA,IP (X),SCHOOL X,,63.7,,76.7,,,,91.6,83.7,,,,59.9,,,,,,,,,,,,,,,,,,,,,,2
154,20200154,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,58.2,,66.1,,,,70.8,58.1,,,,56.1,,,,,,,,,,,,,,,,,,,,,,1
155,20200155,F,234,NA,DSA (CCA),TEMASEK SECONDARY SCHOOL,,62.6,,65.2,,,,65.5,59.8,,,,59.2,,,,,,,,,,,,,,,,,,,,,,1
156,20200156,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,63.3,,47.1,,70.9,,71.1,,,,,55.6,,,,,,,,,,,,,,,,,,,,,,1
157,20200157,F,0,NA,IP (Y),SCHOOL Y,,,72.8,50.7,,,,,,,64,,,69.8,,,,,,,,,,,,,,,,,,,,,1
158,20200158,M,0,NA,IP (X),SCHOOL X,,49.3,,47.3,,,41.3,42.1,,,,,37.1,,,,,,,,,,,,,,,,,,,,,,1
159,20200159,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,52.9,,36.5,,,28.6,37.5,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,1
