SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
204,20180204,F,262,NA,IP (Y),SCHOOL Y,,0.49,,0.19,,,,0.23,0.46,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
205,20180205,F,255,NA,IP (Y),SCHOOL Y,,0.29,,0.87,,,0.51,0.56,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
206,20180206,F,257,NA,IP (Y),SCHOOL Y,,0.8,,0.74,,,,0.81,0.41,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
207,20180207,F,241,NA,DSA (CCA),NAN HUA HIGH SCHOOL,,0.22,,0.05,,,,0,0,,,,,,0.04,,,,,,,,,,,,,,,,,,,,2
208,20180208,F,251,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,0.81,,0.42,,,,0.69,0.77,,,,0.92,,,,,,,,,,,,,,,,,,,,,,1
209,20180209,F,246,NA,IP (Y),SCHOOL Y,,0.12,,0.43,,,0.06,0.04,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
210,20180210,F,259,NA,IP (Y),SCHOOL Y,0.25,,,0.38,,,,0.49,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,1
211,20180211,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.16,,0.39,,,,0.2,0.66,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
212,20180212,F,261,NA,IP (Y),SCHOOL Y,,0.76,,0.1,,,,0.05,,,,,0.37,,,,0.43,,,,,,,,,,,,,,,,,,1
213,20180213,M,269,NA,IP (X),SCHOOL X,,0.96,,0.94,,,,,,,0.76,,,1,,0.96,,,,,,,,,,,,,,,,,,,2
214,20180214,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.02,,0.66,,,,0.71,0.55,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
215,20180215,M,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,,0.05,,0.92,1,,0.83,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,1
216,20180216,M,249,NA,IP (X),SCHOOL X,,0.71,,0.22,,,0.86,0.82,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
217,20180217,F,258,NA,IP (Y),SCHOOL Y,,,0.67,0.71,,,,,,,0.53,,,0.65,,,,,,,,,,,,,,,,,,,,,1
218,20180218,M,251,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.42,,0.71,,,,0.81,0.57,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
