NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200114,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,324,69,1.8,72.5,1
20200115,M,0,NA,IP (X),SCHOOL X,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,324,69,1.8,72.5,1
20200116,F,0,NA,IP (Y),SCHOOL Y,,MC,,,,,,,,,,,EX,,,,,,,,B,EX,,,,,,A,,,,,,,A,A,Failed,1022,4,1.7,27.5,1
20200117,F,0,NA,IP (Y),SCHOOL Y,A,,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,80,1
20200118,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,97,1,78.75,2
20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,C,,A,,,B,B,,D,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,492,54,2.3,68.75,1
20200120,M,0,NA,IP (X),SCHOOL X,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,324,69,1.8,72.5,1
20200121,M,0,NA,IP (X),SCHOOL X,,D,,U,,,,S,C,D,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,978,8,5,38.75,1
20200122,M,0,NA,IP (X),SCHOOL X,B,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200123,M,0,NA,IP (X),SCHOOL X,,C,,S,,,C,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,A,A,Passed,745,30,3.3,60,1
20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,B,,A,,,,A,A,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.8,75,2
20200125,F,0,NA,IP (Y),SCHOOL Y,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200126,F,0,NA,IP (Y),SCHOOL Y,,C,,B,,,E,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,629,41,2.8,65,1
20200127,M,0,NA,IP (X),SCHOOL X,,D,,C,,C,B,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,745,30,3,60,2
20200128,M,0,NA,IP (X),SCHOOL X,,C,,E,,,B,C,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,895,16,4.3,50,1
20200129,F,0,NA,IP (Y),SCHOOL Y,,C,,B,,,,A,A,,,,,,,,A,,,,,,,,,,,,,,,,,,A,B,Passed,151,85,1.3,76.25,1
20200130,M,0,NA,IP (X),SCHOOL X,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,324,69,1.8,72.5,2
20200131,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),B,,,B,,,,,,B,,,S,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,808,24,3,57.5,1
20200132,F,0,NA,IP (Y),SCHOOL Y,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200133,F,0,NA,IP (Y),SCHOOL Y,,D,,B,,A,B,,,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,445,58,1.8,70,1
20200134,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,MC,,U,,,,,,C,,,MC,,,,,,B,,,,,,,,,,,,,,,,A,B,Passed,1004,6,4,32.5,1
20200135,M,0,NA,IP (X),SCHOOL X,,C,,C,,,,A,E,,,,S,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,841,21,3.8,55,1
20200136,F,0,NA,IP (Y),SCHOOL Y,,C,,S,,,E,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,951,11,5,42.5,2
20200137,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200138,M,0,NA,IP (X),SCHOOL X,,C,,D,,,,B,,,,,C,,,,,,,,,D,,,,,,,,,,,,,B,A,Passed,772,27,3.3,58.75,1
20200139,M,0,NA,IP (X),SCHOOL X,,D,,B,,,,B,D,,,,E,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,772,27,3.3,58.75,1
20200140,F,259,Repeat Yr1,IP (Y),SCHOOL Y,,E,,MC,,,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,EX,,,B,A,Failed,1064,0,0,5,0
20200141,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,C,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,389,63,1.8,71.25,1
20200142,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,324,69,1.8,72.5,1
20200143,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,,,,B,,,A,,,,A,,,,,,,,,,,,,,,,,A,B,Passed,271,74,1.5,73.75,1
20200144,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,,B,A,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,324,69,2,72.5,1
