SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
485,20200485,M,0,Repeat Yr2,JAE Ordinary Admission,LOYANG VIEW SECONDARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
486,20200486,F,0,NA,JAE Ordinary Admission,BUKIT MERAH SECONDARY SCHOOL,,0.22,,0.27,,,,,,,,0.11,0.33,,0.27,,,,,,,,,,,,,,,,,,,,1
487,20200487,F,0,NA,IP (Y),SCHOOL Y,,0.12,,0.7,,,,0.96,0.95,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
488,20200488,F,0,NA,IP (Y),SCHOOL Y,0.42,,,0.96,0.92,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
489,20200489,M,0,NA,IP (X),SCHOOL X,,0.04,,0.12,,,0.06,,,,,,0.78,,,,,,0.22,,,,,,,,,,,,,,,,1
490,20200490,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,,0,,0.66,,0.63,0.33,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,1
491,20200491,F,0,NA,JAE Ordinary Admission,JUNYUAN SECONDARY SCHOOL,,0.57,,0.72,,,,0.86,0.55,,,,,,,,,,,,0.9,,,,,,,,,,,,,,1
492,20200492,M,0,NA,IP (X),SCHOOL X,,0.48,,0,,0.06,0.04,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,1
493,20200493,M,0,NA,IP (X),SCHOOL X,,0.94,,0.68,,,,0.92,0.86,,,,0.99,,,,,,,,,,,,,,,,,,,,,,1
494,20200494,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,0.95,,0.94,,,,0.99,0.99,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
495,20200495,F,0,NA,IP (Y),SCHOOL Y,,0.17,,0.56,,,0.18,0.29,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
496,20200496,F,0,NA,IP (Y),SCHOOL Y,,0.58,,0.73,,,0.6,0.64,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
497,20200497,M,0,NA,IP (X),SCHOOL X,,0.87,,0.86,,,,,,,0.08,,,0.42,,0.8,,,,,,,,,,,,,,,,,,,2
498,20200498,F,0,NA,IP (Y),SCHOOL Y,,0.61,,0.29,,,,0.17,0.4,,,,,,,,,,0.94,,,,,,,,,,,,,,,,2
499,20200499,F,0,NA,IP (Y),SCHOOL Y,,0.98,,0.37,,,,0.3,0.33,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1
500,20200500,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,0.28,,0.14,,,,0.09,,,,,0.44,,,,0.67,,,,,,,,,,,,,,,,,,1
