SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
100,20200100,M,0,NA,IP (X),SCHOOL X,,0.93,,0.88,,,0.79,0.9,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,2
101,20200101,M,0,NA,IP (X),SCHOOL X,,0.72,,0.23,,,0.26,0.63,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,1
102,20200102,F,0,NA,IP (Y),SCHOOL Y,,0.17,,0.41,,0.45,0.3,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,1
103,20200103,F,0,NA,IP (Y),SCHOOL Y,,0.41,,0.13,,,0.07,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,1
104,20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.14,,0.77,,,,0.9,0.61,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
105,20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.92,,0.95,,,,0.85,0.74,,,,0.96,,,,,,,,,,,,,,,,,,,,,,1
106,20200106,M,0,NA,IP (X),SCHOOL X,,0.22,,0.32,,,,0.41,0.29,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
107,20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.35,,0.35,,,,,,0.55,,,0.38,,0.79,,,,,,,,,,,,,,,,,,,,1
108,20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,,0.17,,0.8,,,0.34,0.61,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1
109,20200109,F,0,NA,IP (Y),SCHOOL Y,,0.78,,0.77,,,0.7,0.89,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
110,20200110,F,0,NA,IP (Y),SCHOOL Y,,0.59,,0.02,,,,,,,0.4,,,,,,,0.3,,,,0.51,,,,,,,,,,,,,1
111,20200111,F,0,NA,IP (Y),SCHOOL Y,,0.67,,0.77,,,,0.53,0.33,,,,,,,,,,,,,,0.45,,,,,,,,,,,,1
112,20200112,M,0,NA,IP (X),SCHOOL X,,0.4,,0.63,,,,0.52,0.77,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
113,20200113,M,0,NA,IP (X),SCHOOL X,,0.32,,0.24,,,,0.06,0.07,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
114,20200114,F,0,NA,IP (Y),SCHOOL Y,,0.63,,0.89,,,0.36,0.78,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
115,20200115,M,0,NA,IP (X),SCHOOL X,,0.76,,0.54,,,0.62,0.85,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
116,20200116,F,0,NA,IP (Y),SCHOOL Y,,MC,,,,,,,,,,,EX,,,,,,,,0.5,EX,,,,,,0.76,,,,,,,1
117,20200117,F,0,NA,IP (Y),SCHOOL Y,0.61,,,0.73,,,,0.67,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,1
118,20200118,M,0,NA,IP (X),SCHOOL X,,0.89,,0.95,,,,0.98,0.96,,,,0.99,,,,,,,,,,,,,,,,,,,,,,2
119,20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,0.47,,0.69,,,0.45,0.34,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20200120,M,0,NA,IP (X),SCHOOL X,,0.91,,0.63,,,0.5,0.61,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
121,20200121,M,0,NA,IP (X),SCHOOL X,,0.22,,0.07,,,,0.04,0.22,0.1,,,,,,,,,,,,,,,,,,,,,,,,,1
122,20200122,M,0,NA,IP (X),SCHOOL X,0.38,,,0.91,,0.71,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,20200123,M,0,NA,IP (X),SCHOOL X,,0.41,,0.12,,,0.26,0.76,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,1
124,20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.78,,0.88,,,,0.94,0.98,,,,0.36,,,,,,,,,,,,,,,,,,,,,,2
125,20200125,F,0,NA,IP (Y),SCHOOL Y,,0.78,,0.5,,,,0.63,0.88,,,,0.88,,,,,,,,,,,,,,,,,,,,,,1
126,20200126,F,0,NA,IP (Y),SCHOOL Y,,0.3,,0.4,,,0.12,0.52,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
127,20200127,M,0,NA,IP (X),SCHOOL X,,0.08,,0.37,,0.23,0.39,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,2
128,20200128,M,0,NA,IP (X),SCHOOL X,,0.44,,0.2,,,0.43,0.13,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,1
129,20200129,F,0,NA,IP (Y),SCHOOL Y,,0.59,,0.62,,,,0.56,0.65,,,,,,,,0.97,,,,,,,,,,,,,,,,,,1
130,20200130,M,0,NA,IP (X),SCHOOL X,,0.75,,0.64,,,0.65,0.51,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,2
131,20200131,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0.03,,,0.58,,,,,,0.43,,,0.06,,,,,,,,,,,,,,,,,,,,,,1
132,20200132,F,0,NA,IP (Y),SCHOOL Y,,0.86,,0.61,,,,0.76,0.92,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
133,20200133,F,0,NA,IP (Y),SCHOOL Y,,0.27,,0.55,,0.51,0.52,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,1
134,20200134,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,MC,,0.05,,,,,,0.25,,,MC,,,,,,0.38,,,,,,,,,,,,,,,,1
135,20200135,M,0,NA,IP (X),SCHOOL X,,0.47,,0.35,,,,0.48,0.13,,,,0.04,,,,,,,,,,,,,,,,,,,,,,1
136,20200136,F,0,NA,IP (Y),SCHOOL Y,,0.42,,0.1,,,0.11,0.05,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,2
137,20200137,M,0,NA,IP (X),SCHOOL X,,0.93,,0.82,,,0.89,0.91,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,1
138,20200138,M,0,NA,IP (X),SCHOOL X,,0.56,,0.26,,,,0.24,,,,,0.56,,,,,,,,,0.1,,,,,,,,,,,,,1
139,20200139,M,0,NA,IP (X),SCHOOL X,,0.2,,0.6,,,,0.34,0.17,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
140,20200140,F,259,Repeat Yr1,IP (Y),SCHOOL Y,,0.03,,MC,,,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,EX,,,0
