NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190116,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,C,,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,229,79,1.8,72.5,1
20190117,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),B,,,U,,,S,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,968,13,5,41.25,1
20190118,F,262,NA,IP (Y),SCHOOL Y,D,,,MC,,,MC,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1053,5,4,31.25,2
20190119,F,269,NA,IP (Y),SCHOOL Y,A,,,C,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.5,77.5,1
20190120,M,0,NA,IP (X),SCHOOL X,C,,,C,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,1
20190121,M,259,NA,IP (X),SCHOOL X,C,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1,77.5,1
20190122,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,D,,,B,,,D,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,759,31,3.8,53.75,1
20190123,M,263,NA,IP (X),SCHOOL X,D,,,C,,,D,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,602,45,3,60,1
20190124,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,S,,,B,,,,B,A,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,493,55,2.3,63.75,2
20190125,F,263,NA,IP (Y),SCHOOL Y,C,,,E,,,,D,,,,,C,,,,,,B,,,,,,,,,,,,,,,,A,A,Passed,674,39,3.5,57.5,1
20190126,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,D,,,D,,U,D,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,934,16,4.8,43.75,1
20190127,F,258,NA,IP (Y),SCHOOL Y,D,,,,,,,,,B,,,B,,,,,,,,B,,,,,,A,,,,,,,,A,A,Passed,337,69,1.9,68.75,1
20190128,M,258,NA,IP (X),SCHOOL X,D,,,S,,,,,,,D,,,,,S,,,,,,,,,A,,,,,,,,,,A,A,Passed,900,19,4.3,46.25,1
20190129,M,269,NA,IP (X),SCHOOL X,B,,,E,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,410,63,2.8,66.25,2
20190130,M,243,NA,IP (X),SCHOOL X,D,,,U,,,,E,D,,,,E,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,995,10,5.3,38.75,1
20190131,M,256,NA,IP (X),SCHOOL X,C,,,C,,,D,,,,,,D,,,,D,,,,,,,,,,,,,,,,,,A,C,Passed,759,31,3.8,53.75,1
20190132,F,261,NA,IP (Y),SCHOOL Y,C,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1,77.5,1
20190133,M,260,NA,IP (X),SCHOOL X,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,46,95,1.3,77.5,2
20190134,M,246,NA,IP (X),SCHOOL X,D,,,B,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,493,55,2.8,63.75,1
20190135,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,D,,,U,,,,C,,C,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,848,23,4.3,48.75,1
20190136,F,261,NA,IP (Y),SCHOOL Y,C,,,C,,,,E,S,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,874,21,4.5,47.5,1
20190137,M,249,NA,IP (X),SCHOOL X,E,,,U,,,,U,,,,,E,,,,,,,,,,,,,,,S,,,,,,,A,C,Failed,1091,1,6.3,17.5,1
20190138,M,241,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),B,,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,2
20190139,F,238,NA,IP (Y),SCHOOL Y,S,,,E,,,E,E,,,,,,,,,,,,,,,,,,,,,,,D,,,,A,B,Passed,995,10,4.9,38.75,1
20190140,M,254,NA,IP (X),SCHOOL X,E,,,C,,,D,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,702,36,3.3,56.25,1
20190141,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,C,,,B,,,,A,B,,,,,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,1
20190142,F,264,NA,IP (Y),SCHOOL Y,B,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,2
